变量ID,变量名称,优先级,构念,总N,有效N,结构NA N,缺失N,适用N,全样本覆盖率,条件可计算率,显式0 N,警告N,最终建议,建议理由,冻结状态
CV001,上市前直接股权融资发生标记,A核心,融资经历,8,8,0,0,8,1,1,1,1,保留（附条件）,影石创新的0仅代表冻结口径内未识别融资轮，需同时报告历史不可重建限制。,FROZEN_STAGE4C
CV002,上市前直接股权融资轮数,A核心,融资频度,8,8,0,0,8,1,1,1,1,保留（附条件）,轮次可全样本计算，但0轮不等于完整历史从未融资。,FROZEN_STAGE4C
CV003,可核验融资金额下限,A核心,融资规模,8,7,0,1,8,0.875,0.875,0,0,保留（附条件）,7/8家公司有值，必须联用融资金额状态。,FROZEN_STAGE4C
CV004,融资金额下限对数,B扩展,融资规模,8,7,0,1,8,0.875,0.875,0,0,保留（附条件）,作为CV003的替代变换，不与原始金额同时堆叠。,FROZEN_STAGE4C
CV005,已知金额轮次均值,A核心,单轮融资规模,8,7,1,0,7,0.875,1,0,0,保留（附条件）,仅解释已知金额轮次，并联用CV028。,FROZEN_STAGE4C
CV006,已知金额轮次中位数,B扩展,单轮融资规模,8,7,1,0,7,0.875,1,0,0,保留（附条件）,仅解释已知金额轮次；小轮数公司的中位数稳定性有限。,FROZEN_STAGE4C
CV007,最大已知单轮融资金额,B扩展,融资峰值,8,7,1,0,7,0.875,1,0,0,保留（附条件）,最大已知轮不一定是真实最大轮，需联用CV028。,FROZEN_STAGE4C
CV008,最大已知轮金额占比,B扩展,融资集中度,8,7,1,0,7,0.875,1,0,0,保留（附条件）,分母限定为已知事件锚点金额，不与公司层金额混用。,FROZEN_STAGE4C
CV009,融资时间跨度,A核心,融资节奏,8,5,3,0,5,0.625,1,0,0,保留（附条件）,只适用于至少2轮且日期可用的公司。,FROZEN_STAGE4C
CV010,融资轮次间隔中位数,B扩展,融资节奏,8,5,3,0,5,0.625,1,0,0,保留（附条件）,只适用于至少2轮且日期可用的公司。,FROZEN_STAGE4C
CV011,确认PE/VC参与标记,A核心,PEVC参与,8,8,0,0,8,1,1,5,0,保留,8家公司均可计算，适合最基本PE/VC分组。,FROZEN_STAGE4C
CV012,确认PE/VC法律主体数,A核心,PEVC参与,8,8,0,0,8,1,1,5,0,保留,8家公司均可计算，但法律主体数不等于投资体系数。,FROZEN_STAGE4C
CV013,确认PE/VC占直接主体比重,B扩展,PEVC参与,8,8,0,0,8,1,1,5,0,保留,8家公司均可计算，用于相对主体规模比较。,FROZEN_STAGE4C
CV014,确认PE/VC参与融资轮数,B扩展,PEVC参与深度,8,8,0,0,8,1,1,5,1,保留（附条件）,8家公司均可计算；仅3家公司存在确认PE/VC，适合描述参与深度，不支持小样本推断。,FROZEN_STAGE4C
CV015,首次确认PE/VC进入日期,A核心,PEVC进入时点,8,3,5,0,3,0.375,1,0,1,仅案例分析,3家有确认PE/VC且均可识别进入日期，但适用公司仅3家。,FROZEN_STAGE4C
CV016,首次确认PE/VC进入年份,B扩展,PEVC进入时点,8,3,5,0,3,0.375,1,0,1,仅案例分析,3家有确认PE/VC且年份可用，用作路径叙事或案例选择锚点。,FROZEN_STAGE4C
CV017,首次确认PE/VC融资轮位置,B扩展,PEVC进入时点,8,3,5,0,3,0.375,1,0,1,仅案例分析,3家有确认PE/VC且可计算轮次位置；纯转让进入时该指标仍不适用。,FROZEN_STAGE4C
CV018,确认PE/VC间接路径标记,B扩展,投资路径复杂度,8,8,0,0,8,1,1,7,1,保留（附条件）,8家公司均可计算；无PE/VC公司为逻辑0，三协电机的0依赖补充路径完整覆盖。,FROZEN_STAGE4C
CV019,确认PE/VC进入方式多样性,B扩展,PEVC进入方式,8,8,0,0,8,1,1,5,1,保留（附条件）,8家公司均可计算；进入方式种类不代表融资轮次、金额或路径深度。,FROZEN_STAGE4C
CV020,直接参与法律主体数,A核心,参与结构规模,8,8,0,0,8,1,1,0,0,保留,8家公司均可使用，但不等于投资体系或当前股东数。,FROZEN_STAGE4C
CV021,融资投资方法律主体数,B扩展,融资参与广度,8,8,0,0,8,1,1,1,6,保留（附条件）,8家公司均可计算；云汉使用研究层角色映射，黄山使用披露简称补充主体。,FROZEN_STAGE4C
CV022,每轮融资投资方密度,B扩展,融资参与密度,8,7,1,0,7,0.875,1,0,6,保留（附条件）,7个适用公司均可计算；影石创新无冻结融资轮，属于结构性不适用。,FROZEN_STAGE4C
CV023,融资方式多样性,B扩展,融资机制,8,8,0,0,8,1,1,1,0,暂缓,当前8家公司取值与CV001完全一致，没有新增横向信息。,FROZEN_STAGE4C
CV024,股权转让交易数,A核心,二级股权流动,8,8,0,0,8,1,1,4,0,保留,8家公司均可计算，且与发行人融资轮数严格分开。,FROZEN_STAGE4C
CV025,可核验股权转让对价下限,A核心,二级股权流动,8,4,4,0,4,0.5,1,1,0,保留（附条件）,仅4家公司适用或有披露值，需保留转让金额状态。,FROZEN_STAGE4C
CV026,转让对价与融资金额比,B扩展,二级股权流动,8,3,4,1,4,0.375,0.75,1,0,仅案例分析,只有3家公司同时具备可用融资和转让金额。,FROZEN_STAGE4C
CV027,金额已知融资轮数,Q质量,数据可用性,8,8,0,0,8,1,1,1,0,保留,用于说明轮次金额指标的有效观察数。,FROZEN_STAGE4C
