变量ID,变量名称,构念,Stage5路线,学术总分,学术处置,商业总分,商业处置,整合层级,整合角色,变量组合包,主/替代状态,强制伴随项,解释边界,学术来源层,商业来源层,整合判断层
CV001,上市前直接股权融资发生标记,融资经历,CROSS_SECTIONAL_DESCRIPTIVE,9,探索候选,10,核心应用,COMMERCIAL_CORE,画像入口；不单独理论解释,B01 融资强度与规模,保留为主变量或独立维度,CV032与公司披露限制,仅用于八家公司描述和案例选择，不做因果、显著性或优劣判断。,Stage5B导入,Stage5C导入,研究判断
CV002,上市前直接股权融资轮数,融资频度,CROSS_SECTIONAL_DESCRIPTIVE,11,优先候选,10,核心应用,DUAL_CORE,后续选择主轴核心,B01 融资强度与规模,保留为主变量或独立维度,CV032与公司披露限制,仅用于八家公司描述和案例选择，不做因果、显著性或优劣判断。,Stage5B导入,Stage5C导入,研究判断
CV003,可核验融资金额下限,融资规模,CROSS_SECTIONAL_DESCRIPTIVE,11,优先候选,8,辅助应用,RESEARCH_CORE,研究问题核心；商业辅助,B01 融资强度与规模,保留为主变量或独立维度,融资金额状态、CV028、CV030、CV032,金额均基于可核验下限或已知金额轮次；不得解释为真实累计融资。,Stage5B导入,Stage5C导入,研究判断
CV004,融资金额下限对数,融资规模,CROSS_SECTIONAL_DESCRIPTIVE,9,探索候选,6,辅助应用,DUAL_SUPPORT,替代或补充解释,B01 融资强度与规模,替代/敏感性变量,融资金额状态、CV028、CV030、CV032,金额均基于可核验下限或已知金额轮次；不得解释为真实累计融资。,Stage5B导入,Stage5C导入,研究判断
CV005,已知金额轮次均值,单轮融资规模,CROSS_SECTIONAL_DESCRIPTIVE,11,优先候选,9,辅助应用,RESEARCH_CORE,研究问题核心；商业辅助,B01 融资强度与规模,保留为主变量或独立维度,CV027、CV028；必要时CV030,金额均基于可核验下限或已知金额轮次；不得解释为真实累计融资。,Stage5B导入,Stage5C导入,研究判断
CV006,已知金额轮次中位数,单轮融资规模,CROSS_SECTIONAL_DESCRIPTIVE,9,探索候选,7,辅助应用,DUAL_SUPPORT,替代或补充解释,B01 融资强度与规模,替代/敏感性变量,CV027、CV028；必要时CV030,金额均基于可核验下限或已知金额轮次；不得解释为真实累计融资。,Stage5B导入,Stage5C导入,研究判断
CV007,最大已知单轮融资金额,融资峰值,CROSS_SECTIONAL_DESCRIPTIVE,11,优先候选,9,辅助应用,RESEARCH_CORE,研究问题核心；商业辅助,B01 融资强度与规模,保留为主变量或独立维度,CV027、CV028；必要时CV030,金额均基于可核验下限或已知金额轮次；不得解释为真实累计融资。,Stage5B导入,Stage5C导入,研究判断
CV008,最大已知轮金额占比,融资集中度,CROSS_SECTIONAL_DESCRIPTIVE,11,优先候选,8,辅助应用,RESEARCH_CORE,研究问题核心；商业辅助,B01 融资强度与规模,保留为主变量或独立维度,CV027、CV028；必要时CV030,金额均基于可核验下限或已知金额轮次；不得解释为真实累计融资。,Stage5B导入,Stage5C导入,研究判断
CV009,融资时间跨度,融资节奏,CONDITIONAL_DESCRIPTIVE,11,条件描述候选,10,条件应用,CONDITIONAL,条件样本描述,B02 融资节奏,保留为主变量或独立维度,CV029与条件适用N,仅在日期条件满足的公司中描述；必须报告条件分母。,Stage5B导入,Stage5C导入,研究判断
CV010,融资轮次间隔中位数,融资节奏,CONDITIONAL_DESCRIPTIVE,11,条件描述候选,9,条件应用,CONDITIONAL,条件样本描述,B02 融资节奏,保留为主变量或独立维度,CV029与条件适用N,仅在日期条件满足的公司中描述；必须报告条件分母。,Stage5B导入,Stage5C导入,研究判断
