变量ID,英文变量名,中文名称,研究构念,优先级,观察层级,潜在研究角色,变量类型,单位,定义,为什么定义,数据层,开发状态,ID出现次数,名称出现次数
CV001,has_preipo_direct_equity_financing,上市前直接股权融资发生标记,融资经历,A核心,公司层,分组/解释变量,BINARY,0/1,公司是否至少存在1轮按统一口径计入的上市前直接股权融资。,把“是否融资”与“融资多少”分开，避免零轮公司在金额变量中被误作普通低值。,研究判断派生,CANDIDATE_DEFINED_NOT_COMPUTED,1,1
CV002,financing_round_count,上市前直接股权融资轮数,融资频度,A核心,公司层,解释/案例选择变量,INTEGER,轮,financing_round_flag=TRUE的公司内事件数。,刻画企业上市前通过直接股权融资反复进入资本市场的频度。,研究判断,CANDIDATE_DEFINED_NOT_COMPUTED,1,1
CV003,financing_amount_lower_bound_10k_cny,可核验融资金额下限,融资规模,A核心,公司层,解释/案例选择变量,CONTINUOUS,万元人民币,目前可由披露值或明确计算值支持的发行人上市前直接股权融资金额下限。,在轮次数之外衡量可核验的融资规模，并保留披露不完整时的下限含义。,标准化值+计算值,CANDIDATE_DEFINED_NOT_COMPUTED,1,1
CV004,log1p_financing_amount_lower_bound,融资金额下限对数,融资规模,B扩展,公司层,稳健性/替代解释变量,CONTINUOUS,ln(1+万元),对可核验融资金额下限进行ln(1+x)变换。,融资金额通常右偏；对数形式便于比较比例差异，但不改变数据缺失边界。,计算值,CANDIDATE_DEFINED_NOT_COMPUTED,1,1
CV005,mean_known_round_amount_10k_cny,已知金额轮次均值,单轮融资规模,A核心,公司层,解释/案例选择变量,CONTINUOUS,万元人民币/已知轮,公司内金额非null的融资轮事件锚点金额算术平均数。,区分总融资规模与典型单轮规模，避免轮次多的企业仅因次数获得更高总额。,计算值,CANDIDATE_DEFINED_NOT_COMPUTED,1,1
CV006,median_known_round_amount_10k_cny,已知金额轮次中位数,单轮融资规模,B扩展,公司层,稳健性/案例选择变量,CONTINUOUS,万元人民币/已知轮,公司内金额非null的融资轮事件锚点金额中位数。,降低极端大额轮次对典型融资规模描述的影响。,计算值,CANDIDATE_DEFINED_NOT_COMPUTED,1,1
CV007,largest_known_round_amount_10k_cny,最大已知单轮融资金额,融资峰值,B扩展,公司层,案例选择变量,CONTINUOUS,万元人民币,公司内金额非null融资轮事件锚点金额的最大值。,识别是否存在显著的大额关键融资轮，服务于代表性案例筛选。,计算值,CANDIDATE_DEFINED_NOT_COMPUTED,1,1
CV008,largest_known_round_share,最大已知轮金额占比,融资集中度,B扩展,公司层,机制/案例选择变量,RATIO,0–1,最大已知轮金额占公司已知融资轮事件锚点金额合计的比例。,区分融资高度集中于一轮与较均匀分布于多轮的路径。,计算值,CANDIDATE_DEFINED_NOT_COMPUTED,1,1
CV009,financing_span_months,融资时间跨度,融资节奏,A核心,公司层,解释/案例选择变量,CONTINUOUS,月,公司最早与最晚可用融资轮标准化年月之间的月份差。,刻画融资活动是集中发生还是跨越较长时期。,计算值,CANDIDATE_DEFINED_NOT_COMPUTED,1,1
CV010,median_financing_interval_months,融资轮次间隔中位数,融资节奏,B扩展,公司层,机制/案例选择变量,CONTINUOUS,月,按可用融资轮日期排序后，相邻月份差的中位数。,描述典型融资节奏，并降低单次极长间隔的影响。,计算值,CANDIDATE_DEFINED_NOT_COMPUTED,1,1
