composite_key,company_id,company_name,variable_id,variable_name,construct,priority,value_type,unit,final_data_layer,original_status,final_value,final_status,reason_code,reason_text,explicit_zero_flag,warning_code,warning_text,calculation_note,source_records,repair_stage,freeze_decision,warning_flag
301563|CV001,301563,云汉芯城,CV001,上市前直接股权融资发生标记,融资经历,A核心,BINARY,0/1,研究判断派生,VALID,1,VALID,OBSERVED_OR_CALCULATED,符合Stage 3计算门槛。,0,,,financing_round_count=7，据此生成二元标记。,companies:301563,,FROZEN_UNCHANGED,0
301563|CV002,301563,云汉芯城,CV002,上市前直接股权融资轮数,融资频度,A核心,INTEGER,轮,研究判断,VALID,7,VALID,OBSERVED_OR_CALCULATED,符合Stage 3计算门槛。,0,,,公司冻结轮次=7；事件层TRUE计数=7。,companies:301563; CE-002-02; CE-004; CE-005; CE-007; CE-012; CE-013-01; CE-010-01,,FROZEN_UNCHANGED,0
301563|CV003,301563,云汉芯城,CV003,可核验融资金额下限,融资规模,A核心,CONTINUOUS,万元人民币,标准化值+计算值,VALID,27120,VALID,OBSERVED_OR_CALCULATED,符合Stage 3计算门槛。,0,,,读取公司层冻结金额；状态=KNOWN_LOWER_BOUND。,companies:301563,,FROZEN_UNCHANGED,0
301563|CV004,301563,云汉芯城,CV004,融资金额下限对数,融资规模,B扩展,CONTINUOUS,ln(1+万元),计算值,VALID,10.208063614530875,VALID,OBSERVED_OR_CALCULATED,符合Stage 3计算门槛。,0,,,LN(1+公司层融资金额下限)。,companies:301563,,FROZEN_UNCHANGED,0
301563|CV005,301563,云汉芯城,CV005,已知金额轮次均值,单轮融资规模,A核心,CONTINUOUS,万元人民币/已知轮,计算值,VALID,9000,VALID,OBSERVED_OR_CALCULATED,符合Stage 3计算门槛。,0,,,基于3个非null融资轮金额计算已知轮次金额均值。,CE-012; CE-013-01; CE-010-01,,FROZEN_UNCHANGED,0
301563|CV006,301563,云汉芯城,CV006,已知金额轮次中位数,单轮融资规模,B扩展,CONTINUOUS,万元人民币/已知轮,计算值,VALID,7000,VALID,OBSERVED_OR_CALCULATED,符合Stage 3计算门槛。,0,,,基于3个非null融资轮金额计算已知轮次金额中位数。,CE-012; CE-013-01; CE-010-01,,FROZEN_UNCHANGED,0
301563|CV007,301563,云汉芯城,CV007,最大已知单轮融资金额,融资峰值,B扩展,CONTINUOUS,万元人民币,计算值,VALID,15000,VALID,OBSERVED_OR_CALCULATED,符合Stage 3计算门槛。,0,,,基于3个非null融资轮金额计算最大已知轮次金额。,CE-012; CE-013-01; CE-010-01,,FROZEN_UNCHANGED,0
301563|CV008,301563,云汉芯城,CV008,最大已知轮金额占比,融资集中度,B扩展,RATIO,0–1,计算值,VALID,0.5555555555555556,VALID,OBSERVED_OR_CALCULATED,符合Stage 3计算门槛。,0,,,最大已知轮金额/已知事件锚点金额合计。,CE-012; CE-013-01; CE-010-01,,FROZEN_UNCHANGED,0
301563|CV009,301563,云汉芯城,CV009,融资时间跨度,融资节奏,A核心,CONTINUOUS,月,计算值,VALID,129,VALID,OBSERVED_OR_CALCULATED,符合Stage 3计算门槛。,0,,,使用6个可用年月计算最晚减最早。,CE-002-02; CE-004; CE-005; CE-007; CE-012; CE-013-01,,FROZEN_UNCHANGED,0
301563|CV010,301563,云汉芯城,CV010,融资轮次间隔中位数,融资节奏,B扩展,CONTINUOUS,月,计算值,VALID,7,VALID,OBSERVED_OR_CALCULATED,符合Stage 3计算门槛。,0,,,对5个相邻月份差取中位数。,CE-002-02; CE-004; CE-005; CE-007; CE-012; CE-013-01,,FROZEN_UNCHANGED,0
301563|CV011,301563,云汉芯城,CV011,确认PE/VC参与标记,PEVC参与,A核心,BINARY,0/1,研究判断派生,VALID,1,VALID,OBSERVED_OR_CALCULATED,符合Stage 3计算门槛。,0,,,confirmed_pevc_legal_entity_count=12。,companies:301563,,FROZEN_UNCHANGED,0
301563|CV012,301563,云汉芯城,CV012,确认PE/VC法律主体数,PEVC参与,A核心,INTEGER,个,计算值+研究判断,VALID,12,VALID,OBSERVED_OR_CALCULATED,符合Stage 3计算门槛。,0,,,读取公司层冻结确认PE/VC法律主体数。,companies:301563,,FROZEN_UNCHANGED,0
301563|CV013,301563,云汉芯城,CV013,确认PE/VC占直接主体比重,PEVC参与,B扩展,RATIO,0–1,计算值+研究判断,VALID,0.34285714285714286,VALID,OBSERVED_OR_CALCULATED,符合Stage 3计算门槛。,0,,,确认PE/VC法律主体数/直接参与法律主体数。,companies:301563,,FROZEN_UNCHANGED,0
